participant,participant_id,piece,video,condition,audio_file,trim_start_s,trim_stop_s,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P18,18,2,3,sight_reading,P18_video3_IMG1239.mp3,2.23,84.5,82.27002267573697,G,major,0.8245235816200964,0,2.767618417739868,0.4662001430988312,0.3399493486217853,0.0532276853919029,172.265625,0.065702736377716,0.0461757071316242,698.694950416537,2.5282599084702,0.8499898523679925
P19,19,1,1,sight_reading,P19_video1_IMG1240.mp3,3.81,122.09,118.28,G,minor,0.8304462910143514,1,2.6954562664031982,0.4143722653388977,0.3212900021997845,0.031206626445055,151.99908088235293,0.0475985184311866,0.038604661822319,606.8439006618681,1.2343591477849172,0.8693123206881765
P19,19,2,2,sight_reading,P19_video2_IMG1241.mp3,1.42,81.92,80.5,G,minor,0.7766738212435198,1,2.7459444999694824,0.4314718544483185,0.346027658186974,0.0524765253067016,172.265625,0.073197603225708,0.049721173942089,679.2783267127928,2.422360248447205,0.840746634813529
P19,19,3,3,self_selected,P19_video3_IMG1242.mp3,3.99,163.79,159.8,A#,minor,0.8472641621713699,1,3.004081010818481,0.2515181601047516,0.3020649676397021,0.0334024764597415,78.30255681818181,0.0676422119140625,0.0448675937950611,530.3718020622557,2.0212765957446805,0.8496330316624198
P21,21,1,1,sight_reading,P21_video1_IMG1249.mp3,4.69,89.72,85.03002267573696,G,minor,0.9320764631035,1,2.5493626594543457,0.5288830995559692,0.2893351291178813,0.0407234020531177,73.828125,0.0585454180836677,0.0431157164275646,651.8799068961114,1.6464772746667578,0.8374689373542159
P21,21,2,2,sight_reading,P21_video2_IMG1250.mp3,2.16,95.94,93.78,G,minor,0.8187544236862853,1,2.845233678817749,0.4883658587932586,0.3323937672780369,0.0544997751712799,198.76802884615384,0.0603049769997596,0.0481759868562221,707.5792374812711,2.687140115163148,0.815507827402476
P21,21,3,3,self_selected,P21_video3_IMG1251.mp3,0.91,948.93,948.0184580498866,D,major,0.8299128988421763,0,2.8791894912719727,0.3209628462791443,0.4035473925918937,0.0428434051573276,123.046875,0.0807277038693428,0.0428707227110862,620.4866415257518,2.7626044385120854,0.8396255599240355
P22,22,1,1,sight_reading,P22_video1_IMG1252.mp3,2.65,73.12,70.47002267573696,G,minor,0.8834425915113215,1,2.61709976196289,0.4679870307445526,0.3193210208136725,0.0411740057170391,80.74951171875,0.0597102344036102,0.0393226593732833,635.7669251428651,1.8163751782652795,0.8220787467754445
P22,22,2,2,sight_reading,P22_video2_IMG1253.mp3,1.74,69.92,68.18,G,minor,0.7841297386553916,1,2.887539386749268,0.4473760426044464,0.3538854321682804,0.0548902489244937,215.33203125,0.0624098554253578,0.0477952435612678,716.2374798786631,2.6840715752420063,0.8291061218381661
P22,22,3,3,self_selected,P22_video3_IMG1254.mp3,1.37,175.1,173.73002267573696,A,major,0.7046982249536072,0,3.0682778358459477,0.329124391078949,0.2252431043175014,0.0468157120048999,129.19921875,0.0716820433735847,0.0563795007765293,658.2636252844623,2.526909242505444,0.7751591092986716
