participant,participant_id,piece,condition,audio_file,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P20,20,3,self_selected,P20_video3_IMG1248.mp3,161.14503401360545,G#,major,0.7990144601826602,0,3.0350916385650635,0.19556301832199097,0.490955733710887,0.039937276393175125,103.359375,0.07593890279531479,0.04173478111624718,619.6434510839516,3.5558030286656037,0.852483429910312
P21,21,1,sight_reading,P21_video1_IMG1249.mp3,92.34430839002268,G,minor,0.9388903098532246,1,2.6254396438598633,0.5698804259300232,0.2948780501206175,0.0387486070394516,73.828125,0.054068997502326965,0.04409896209836006,734.0827413172925,1.6026975845106946,0.8373640588561728
P21,21,2,sight_reading,P21_video2_IMG1250.mp3,96.05950113378685,G,minor,0.8259327765869274,1,2.8613500595092773,0.4924628734588623,0.333166245702141,0.05359955504536629,198.76802884615384,0.05893103778362274,0.04841247946023941,723.689203739076,2.665014881177199,0.8153658905866894
P21,21,3,self_selected,P21_video3_IMG1251.mp3,948.9284353741497,D,major,0.8298327420377825,0,2.8797996044158936,0.3214288651943207,0.40310485453525224,0.04283110424876213,135.99917763157896,0.08065155148506165,0.04292115196585655,621.2109483719546,2.7894621989658512,0.8397163123253442
P22,22,1,sight_reading,P22_video1_IMG1252.mp3,76.601179138322,G,minor,0.9014148847982696,1,2.6810479164123535,0.5007668733596802,0.320348862294773,0.03913741186261177,80.74951171875,0.055172406136989594,0.0407380610704422,709.2987697355717,1.7884842184036527,0.819927692666178
P22,22,2,sight_reading,P22_video2_IMG1253.mp3,70.05315192743764,G,minor,0.7869119050466541,1,2.9032669067382812,0.45162326097488403,0.3558054563034733,0.053902771323919296,107.666015625,0.060831137001514435,0.048118121922016144,732.900024833011,2.6408519090136937,0.8296228280498588
P22,22,3,self_selected,P22_video3_IMG1254.mp3,176.56308390022676,A,major,0.6927171257507581,0,3.075599193572998,0.3314824104309082,0.22165254269860388,0.04636206105351448,129.19921875,0.07056412100791931,0.05660674348473549,676.3367533013082,2.4863634588987615,0.7751276170482696
P24,24,1,sight_reading,P24_video1_IMG1258.mp3,97.35981859410431,G,minor,0.8717746992441183,1,2.4198639392852783,0.6200990676879883,0.27397726040692694,0.038540732115507126,67.99958881578948,0.05418173596262932,0.044513288885354996,667.9900857115998,1.4482360591470775,0.8621802588388162
P24,24,2,sight_reading,P24_video2_IMG1259.mp3,72.83954648526077,G,minor,0.8208803152321643,1,2.757408380508423,0.5134385824203491,0.36247131601263394,0.05806560814380646,107.666015625,0.0644245371222496,0.04872186854481697,834.3044046686697,2.6908459684007093,0.828469123313359
P24,24,3,self_selected,P24_video3_IMG1260.mp3,113.40480725623583,C,minor,0.796264362612247,1,2.7872016429901123,0.43981194496154785,0.33432211654366645,0.04766576364636421,184.5703125,0.0627710223197937,0.0506875216960907,752.3967397655978,2.336761610125027,0.8111332975671925
